"scale","contrast","effect","estimate","ci_low","ci_high","p_value","bootstrap_sims","confidence_level"
"raw_score","LCU 3 to 4 (one-point increase)","indirect_effect_ACME",0.992429630913665,0.167267621768287,2.10481456616439,0.0136,5000,0.95
"raw_score","LCU 3 to 4 (one-point increase)","direct_effect_ADE",0.575802252713502,-1.86607196714403,2.91076449543932,0.6628,5000,0.95
"raw_score","LCU 3 to 4 (one-point increase)","total_effect",1.56823188362717,-0.767918421837822,3.84752104783973,0.1932,5000,0.95
"standardized","LCU 0 SD to +1 SD","indirect_effect_ACME",0.0508982161664885,0.00857856648493931,0.10794851689422,0.0136,5000,0.95
"standardized","LCU 0 SD to +1 SD","direct_effect_ADE",0.0295308670910819,-0.0957042508681239,0.149282846746741,0.6628,5000,0.95
"standardized","LCU 0 SD to +1 SD","total_effect",0.0804290832575703,-0.039383827946518,0.197325787036176,0.1932,5000,0.95
