"scale","item","n","raw.r","std.r","r.cor","r.drop","mean","sd"
"LCU_T1","LCU1_T1",162,0.816146168554815,0.810348973065394,0.771867102160655,0.709279535776979,3.44444444444444,0.978019293843651
"LCU_T1","LCU2_T1",162,0.747581774673162,0.752302893714774,0.686143314432372,0.629836724935316,3.45061728395062,0.870870693996613
"LCU_T1","LCU3_T1",162,0.781384774981537,0.778656345004424,0.724829060458295,0.665933244688918,3.34567901234568,0.93464038093193
"LCU_T1","LCU4_T1",162,0.695846748451472,0.702034372549092,0.60622617832938,0.559498866270325,3.48765432098765,0.879282982317772
"LCU_T1","LCU5_T1",162,0.744553749728359,0.742007710190601,0.666548546594204,0.615979756421505,3.48148148148148,0.927309754959211
"LCU_T1","LCU6_T1",162,0.75473994643253,0.755385610934309,0.691163903075548,0.633425890278194,3.50617283950617,0.907162072532564
"SRL_T1","SRL1_T1",162,0.766643187273503,0.757278785317804,0.693085598066185,0.630380115879972,3.29012345679012,1.11835115300783
"SRL_T1","SRL2_T1",162,0.727878456632033,0.725918292849067,0.647571503294307,0.588205091059133,3.37037037037037,1.04488632856092
"SRL_T1","SRL3_T1",162,0.721933883815239,0.727058554600521,0.646842260127602,0.589452707238265,3.32716049382716,0.989574517474322
"SRL_T1","SRL4_T1",162,0.680324202586275,0.689518934552107,0.591221768727035,0.537848885271418,3.3641975308642,0.970087867183163
"SRL_T1","SRL5_T1",162,0.749917029314092,0.752569281288346,0.686218791220075,0.623021553530203,3.38888888888889,1.01693730912148
"SRL_T1","SRL6_T1",162,0.750149972925724,0.745400235065596,0.674568017200682,0.61428756587771,3.41975308641975,1.0732686190871
"SRL_T2","SRL1_T2",162,0.778907498747928,0.772310631623699,0.720947744941806,0.644485461577644,3.37037037037037,1.03892496329864
"SRL_T2","SRL2_T2",162,0.685188303486441,0.681415557698097,0.589555037109518,0.523630955361373,3.48765432098765,0.985848024275948
"SRL_T2","SRL3_T2",162,0.736881095567526,0.736108188809235,0.665244984954936,0.591815924758515,3.38888888888889,0.99844599750707
"SRL_T2","SRL4_T2",162,0.627585968619991,0.644055335025923,0.537428789195554,0.470197689035367,3.42592592592593,0.88328547860529
"SRL_T2","SRL5_T2",162,0.657109795738536,0.652950905073541,0.541971345167765,0.483694545582948,3.48765432098765,0.998369193968687
"SRL_T2","SRL6_T2",162,0.726233486059342,0.726131774585502,0.650752303683518,0.578392408157436,3.54320987654321,0.99125847255141
