"model","term","b","se","t","p_value","ci_low","ci_high","standardized_beta"
"mediator_model_RQ1_H1","(Intercept)",0.916944014970468,0.30278258752743,3.02839084129103,0.00287236971941161,0.318920526589789,1.51496750335115,
"mediator_model_RQ1_H1","LCU_T1_mean",0.291899424619794,0.0642518274199059,4.54305249113211,1.09528238046075e-05,0.164996149625473,0.418802699614115,0.293010724978698
"mediator_model_RQ1_H1","SRL_T1_mean",0.43902202602261,0.059978915630391,7.31960592165424,1.18703173187877e-11,0.320558145231158,0.557485906814062,0.482316358129049
"mediator_model_RQ1_H1","midterm_score",0.000717928708906403,0.00331606418963296,0.216500244823628,0.828877113581254,-0.00583160338464207,0.00726746080245488,0.013650177871768
"outcome_model_RQ2_H2","(Intercept)",7.47304439413936,5.61116555806662,1.33181677083046,0.184850657289128,-3.61006900838241,18.5561577966611,
"outcome_model_RQ2_H2","SRL_T2_mean",3.39990266238561,1.43331458546899,2.37205613956209,0.0189010751027229,0.568835225887651,6.23097009888357,0.173707689949536
"outcome_model_RQ2_H2","SRL_T1_mean",2.80913658202904,1.25047202019681,2.24646096566552,0.0260691928579663,0.339217799005814,5.27905536505227,0.157677998539251
"outcome_model_RQ2_H2","LCU_T1_mean",0.575802252713502,1.23087950413379,0.467797417033695,0.640578169986533,-1.85541760490464,3.00702211033164,0.0295308670910819
"outcome_model_RQ2_H2","midterm_score",0.588009192781982,0.0597526817967416,9.84071635114538,4.2503841664558e-18,0.469986343232294,0.706032042331669,0.571207192301095
