"model","study_id","fitted","residual","standardized_residual","studentized_residual","cooks_distance","leverage","flag_abs_studentized_gt_3","flag_cooks_gt_4_over_n","flag_leverage_gt_2p_over_n"
"mediator_model_RQ1_H1","ALG26-001",3.20610053014329,-0.0394338634766257,-0.0741032604616784,-0.0738696679254429,1.13969699667752e-05,0.00823349447433023,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-002",3.07491521647722,0.591751450189442,1.11994479123431,1.12085282257342,0.00713344913738873,0.0222431954960511,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-004",3.56829857759786,-0.56829857759786,-1.07312934654897,-1.07364785422054,0.00522124765646553,0.0178124865816952,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-005",3.77056444016065,-0.770564440160653,-1.46697132593068,-1.47238315885875,0.018752554482534,0.0336819531666073,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-006",2.61254564598039,1.22078768735294,2.32672244085387,2.36013336490017,0.050349912398235,0.0358679116093668,FALSE,TRUE,FALSE
"mediator_model_RQ1_H1","ALG26-007",3.83756838645235,-0.337568386452345,-0.636549883770878,-0.635347494814547,0.00155024103243939,0.0150729547624451,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-008",3.67352760027895,-1.50686093361228,-2.83434372079158,-2.90004822971284,0.0205130308346896,0.0101104741042571,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-009",3.08072264350151,-0.747389310168178,-1.41308564855791,-1.41759304505621,0.0103331207543971,0.020279476074554,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-010",3.68548428144022,-0.852150948106891,-1.61036952118745,-1.61860353754744,0.0127722401214185,0.0193198332576899,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-011",3.49264748812277,-0.659314154789441,-1.24177842666017,-1.24392749867995,0.0049652951291109,0.0127162433183155,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-012",3.14922644456405,-0.315893111230721,-0.599407185104618,-0.598187836964969,0.00252034902572767,0.0272934618774277,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-013",3.58671661713929,-0.0867166171392934,-0.164107346205012,-0.163601138393243,0.000152164380534715,0.0221009515316385,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-014",3.55712382249853,-0.0571238224985338,-0.107469202024079,-0.107132485488087,3.06657719293578e-05,0.0105089114257446,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-015",4.06464964958369,-0.231316316250354,-0.440492731025834,-0.439366421591615,0.00171851598429464,0.0342149989831911,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-016",3.79505287505127,-0.128386208384604,-0.242869554979781,-0.242144964287241,0.000321405571413078,0.0213306084493531,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-017",2.89284735379337,0.7738193128733,1.46567005836676,1.47105908042736,0.013076487287423,0.0237700867369401,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-018",3.49070981020967,0.50929018979033,0.973327345546284,0.973164233712821,0.0101600168649974,0.041133413849504,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-019",3.15461090988085,-1.65461090988085,-3.1295031679257,-3.2210096141841,0.0524990293964856,0.0209916639039532,TRUE,TRUE,FALSE
"mediator_model_RQ1_H1","ALG26-020",3.96908066579632,0.530919334203684,1.00099971104169,1.00100608824069,0.00375713048261907,0.014776887154954,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-022",4.35188253759559,0.314784129071077,0.600216868523578,0.598997718668677,0.00343279962791361,0.0367152701615204,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-023",4.27365470028629,-0.106988033619624,-0.204695055612041,-0.204073319166621,0.000473457614037789,0.0432441645616399,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-024",3.07599210954058,-0.242658776207247,-0.458914257843476,-0.457764877420317,0.00111803387489269,0.0207934316845926,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-025",3.93056062240551,-0.0972272890721717,-0.184288578770945,-0.183724208287828,0.000219304981333374,0.0251788894941278,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-027",3.71676104038893,0.283238959611068,0.538472925425115,0.537259393497774,0.00231904796202389,0.0310002809448037,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-029",3.88980793410018,-0.556474600766843,-1.04852409896508,-1.04885618729346,0.00377269113824631,0.0135404682638144,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-031",3.46344565651299,-0.463445656512987,-0.883147424727113,-0.882529166461262,0.00718874505357173,0.0355568509944033,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-032",3.77989751337644,0.720102486623563,1.37325092675679,1.37714144398893,0.0181050794334704,0.0369823800759695,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-033",3.92653315571872,-0.0931998223853882,-0.176033675001778,-0.175492932349637,0.000144316226441431,0.0182880632908147,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-034",3.62057012392221,-0.453903457255546,-0.853246476193015,-0.852508397311524,0.00163191210212635,0.00888650799465036,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-035",3.2143887089722,0.118944624361132,0.224560484152447,0.223884452139786,0.000223491241660921,0.0174189594308521,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-037",3.77337215764324,-0.273372157643241,-0.514111722599192,-0.512911396722326,0.000651506015395535,0.00976342893552502,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-038",3.1551539837724,-0.321820650439068,-0.618895355980036,-0.617682880689445,0.00536181165841091,0.0530244143738952,FALSE,FALSE,TRUE
"mediator_model_RQ1_H1","ALG26-039",2.65437522734908,0.178958105984252,0.342398068111464,0.341439508051668,0.00132583313533526,0.0432784602025962,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-040",3.6000622956071,-0.100062295607101,-0.188826676258901,-0.188249417102217,0.000149853790973218,0.0165333427266965,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-041",3.73549118417354,0.597842149159795,1.1310249239817,1.13203200573055,0.00701686697432903,0.0214700476113243,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-042",3.57867654520049,0.0879901214661812,0.167901380773413,0.167384137178451,0.000279579189886261,0.0381558392887205,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-043",2.86192955919911,0.138070440800887,0.261036500120323,0.260265251880097,0.000350924303901573,0.0201843757792159,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-044",3.92728308310415,-0.427283083104148,-0.811011340494607,-0.810128779297581,0.00471472444788137,0.0278731087690721,FALSE,FALSE,FALSE
