"variable","LCU_T1_mean","SRL_T1_mean","SRL_T2_mean","midterm_score","final_score"
"LCU_T1_mean",,2.7432718982824e-05,1.73603846444714e-09,0.0609756052224845,0.00182827919884135
"SRL_T1_mean",2.7432718982824e-05,,5.72395488896759e-16,0.00129602330718272,5.45907160270472e-08
"SRL_T2_mean",1.73603846444714e-09,5.72395488896759e-16,,0.0236264645289148,6.07822123773097e-07
"midterm_score",0.0609756052224845,0.00129602330718272,0.0236264645289148,,1.670258671493e-20
"final_score",0.00182827919884135,5.45907160270472e-08,6.07822123773097e-07,1.670258671493e-20,
