"variable","LCU_T1_mean","SRL_T1_mean","SRL_T2_mean","midterm_score","final_score"
"LCU_T1_mean",1,0.323115296078584,0.450868538662339,0.147545390408033,0.24307736078807
"SRL_T1_mean",0.323115296078584,1,0.580413812112014,0.250634596809759,0.411206500256845
"SRL_T2_mean",0.450868538662339,0.580413812112014,1,0.177767725636916,0.380082920501497
"midterm_score",0.147545390408033,0.250634596809759,0.177767725636916,1,0.645963518172762
"final_score",0.24307736078807,0.411206500256845,0.380082920501497,0.645963518172762,1
