"variable","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"LCU_T1_mean",1,162,3.45267489711934,0.694419522595521,3.41666666666667,3.45128205128205,0.61775,2,5,3,0.0229214845097251,-0.530332939498313,0.0545587503795131
"SRL_T1_mean",2,162,3.36008230452675,0.760006533571975,3.5,3.36794871794872,0.7413,1,5,4,-0.220075303364451,-0.459408246304199,0.0597117526260916
"SRL_T2_mean",3,162,3.45061728395062,0.691785801032099,3.5,3.46282051282051,0.7413,1.5,5,3.5,-0.213057910999807,-0.357236722315095,0.0543518256709295
"midterm_score",4,162,70.6049382716049,13.1531155059056,71.25,70.5576923076923,13.71405,31.5,98,66.5,-0.0741035877714761,-0.206440342804304,1.03340635199508
"final_score",5,162,72.1481481481482,13.5400130380692,71.5,71.6576923076923,14.0847,37,100,63,0.254744580499156,-0.461352320359498,1.06380389295255
